from,sent_amount,sent_count
0x1f1ddd6734b8c077b87870fe86b2b732839340b2,2562466434698.1987,2
0xca285b141486e6be57bad25f798d62ef460168b3,2514148645812.4673,2
0xe24c2133714b735f7dff541d4fb9a101c9abcb40,2331165612000.3594,2
0x02229c452c796572000a14d08ab316c95e20ff0a,2323047027250.066,2
0x38ab300217c13c754ef3333e06ce9a1e5f8358e2,2288067092663.0,2
0xb4571ccda5d5519007b0eef4f53aef94beccdd60,2288017974341.995,1
0x728bbe9bbee3af78ad611315076621865950b344,2288017974341.995,1
0x3dbb68d1e3a459a87fb0641a242ef609b0108436,2243615677393.5903,1
0xc97e80ffc9f3941c41bca7f9c6f019180ea3fb86,2222317469726.0,1
0x4312289474a8f551d17d108db41ca1f6ce501543,2000000000000.0,2
0xbf168a9b110379fc8e5daa42e334a97159232e37,2000000000000.0,2
0xbcfc53612ebd21c1ae5d11388f56c6cebef2f11d,1989997573027.5427,1
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1987907138338.732,4
0x6ee067bd80d5dd15b11477942d56c69099bed15d,1933788329997.7085,1
0xbe7136b0cab7ec261f741369dfbb05a5bdfa39e0,1927478037147.9084,1
0xb634058bd3ac146b128824e4b9ab59561b0568b9,1918083804169.1118,1
0x1baf0c2bb5373993b61814a4e72556d43c3a5aac,1892993660666.434,2
0x67bee89abbf5a3626ef9240f62928806b6c67e1c,1887887554226.6326,1
0x1fc7462b6b1394ff299d9bec582ced7e346eec8c,1873000257729.567,1
0x7b4b93303cbfa529823401872d1b10eee740f26b,1868951481229.982,2
0x0d70b64271e736d9e95afeded52150de00f7cd38,1855587598806.559,2
0x1aa0b915beea961e6c09121bb5f9ed98a10b7658,1849554762247.0,1
0xba03eca6b692532648c4da21840fb9af578147a2,1835163238821.621,1
0xc76dd85de853b844b9590cc268a1222828b9f896,1817864382671.4695,3
0x5202c42a7eee299328f92e7f30884a17f46e9b9c,1741002053545.5596,1
0x98c97dd7dd2a5480a0593571c6cd510d17102930,1688560229335.789,1
0x2838e1556994de6ca3edf22327c3760f9498bb18,1678835810501.1436,1
0x5ba62c1fcc974957c595225205489712de3f23d2,1636229432758.1475,1
0xcec7adcd0c7af872255af66becd42f65f17423a9,1617985594682.1548,1
0x8127f6c76f8bfc3c916e2f950e158c7f3c3b6933,1612062277927.712,1
0x698af2af22a81e8bfdde536742e19bf8f094bc70,1587387442215.3555,1
0xd9dd3da89bc42cf3275fe077bca12ceaa5e72300,1566946714220.8315,2
0x8a0244cab663a25ad9c82bd144b27c0e6cfa3c92,1553913583690.0,1
0x2620dc6875aace6531efb2feef0e3f4d0a16c599,1537236435582.9934,1
0x1376f462a27c2b9ce6e2086beee92a6e6b31a4ca,1500000000000.0,1
